Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,rice,Unknown,Table 04: Selected Markets:Wholesale Price of Subsidiary Food (Rs/50kg),Stable
weekly_02_2025_Eng.txt,onion,Unknown,Dried Chillies Red Onion Big Onion PotatoLOCATION Imported Imported Local Imported Welimada,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 05: Selected Markets: Retail Price of Subsidiary Food Crops (Rs/kg),Stable
weekly_02_2025_Eng.txt,onion,Unknown,Dried Chillies Red Onion Big Onion Potato Pulses,Stable
weekly_02_2025_Eng.txt,dhal,Unknown,Green Gram Cowpea Red Dhal,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 06: Selected Markets: Wholesale Price of Vegetables(Rs/kg),Stable
weekly_02_2025_Eng.txt,potato,Unknown,ManiocLong Beans Ash Plantain Green Chillies Lime Sweet Potatoe,Stable
weekly_02_2025_Eng.txt,rice,Unknown,"Colombo, Meegoda, Norochchole, Jaffna,Dambulla and Kandy - Gotukola Price Rs/Kg",Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Leafy Vegetables (Rs/bundle),Stable
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut (Rs/nut),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 07: Selected Markets: Retail Price of Vegetables (Rs/kg),Stable
weekly_02_2025_Eng.txt,potato,Unknown,Sweet Potato Large Small,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,Low Country Varieties Leafy Vegetable Coconut (Rs/nut),Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 08: Selected Markets: Retail Price of Fruits (Rs/each & Rs/kg),Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Mango Other Fruits,Stable
weekly_02_2025_Eng.txt,coconut,Unknown,Passion Avocado Slime Apple Grapes (Rs/kg) King CoconutWood Apple Orange,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Local Dried Fish Imported Dried Fish,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Imported Dried Fish,Stable
weekly_02_2025_Eng.txt,fish,Unknown,Local Dried Fish,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 10: Selected Markets: Wholesale Price of Dried Fish (Rs/50kg),Stable
weekly_02_2025_Eng.txt,fish,Unknown,Sea Fish Eggs,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 09: Selected Markets: Wholesale Price of Fresh Fish & Eggs (Rs/kg & Rs/egg),Stable
weekly_02_2025_Eng.txt,fish,Unknown,Sea FishLocations,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 11: Selected Markets: Retail Price of Fresh Fish & Eggs (Rs/kg & Rs/eggs),Stable
weekly_02_2025_Eng.txt,fish,Unknown,Sea Fish EggsLOCATIONS,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 12: Selected Markets: Retail Price of Dried Fish (Rs/kg),Stable
weekly_02_2025_Eng.txt,fish,Unknown,Dried FishLOCATIONS Sprats-Imported Kattawa Thora Mora Balaya,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Table 13: Selected Markets: Retail Price of Meat (Rs/kg),Stable
weekly_02_2025_Eng.txt,chicken,Unknown,Meat Meat (Chicken) Meat,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rice Coconut,Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Keeri Samba 250.00−260.00254.17255.00335.00 -0.33 -24.13Fruits (Rs/fruit),Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Raw (Red) − Passion Fruit 40.00− 60.00 52.50 52.73 93.33 -0.43 -43.75,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Onion Mango,Stable
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion Kohu −,Stable
weekly_02_2025_Eng.txt,potato,Unknown,Potato Orange 80.00− 120.00 92.73 117.00128.57 -20.75 -27.88,Stable
